Durasi,Pir_1,Pir2,Pir3,Pir4,Gerakan
3,0,0,1,0,NORMAL
1,0,1,0,0,NORMAL
2,1,0,0,0,NORMAL
1,0,1,0,0,NORMAL
4,0,0,0,1,NORMAL
1,0,1,0,0,NORMAL
1,1,0,0,0,NORMAL
1,0,1,0,0,NORMAL
1,0,0,0,1,NORMAL
1,0,1,0,0,NORMAL
1,0,0,1,0,NORMAL
1,0,0,0,0,NORMAL
3,1,0,0,0,NORMAL
1,0,1,0,0,NORMAL
2,0,0,0,1,NORMAL
1,0,1,0,0,NORMAL
1,0,0,1,0,NORMAL
2,0,1,0,0,NORMAL
3,0,0,1,0,NORMAL
4,0,1,0,0,NORMAL
1,0,0,1,0,NORMAL
1,0,1,0,0,NORMAL
1,0,0,1,0,NORMAL
1,0,1,0,0,NORMAL
1,0,0,1,0,NORMAL
2,0,1,0,0,NORMAL
2,0,0,0,1,NORMAL
1,0,1,0,0,NORMAL
1,1,0,0,0,NORMAL
1,0,1,0,0,NORMAL
1,0,0,1,0,LOITERING
1,0,1,0,0,LOITERING
1,0,0,1,0,LOITERING
2,0,1,0,0,LOITERING
1,0,0,0,1,LOITERING
1,0,1,0,0,LOITERING
1,0,0,1,0,LOITERING
1,0,1,0,0,LOITERING
1,0,0,0,1,LOITERING
1,0,1,0,0,LOITERING
1,1,0,0,0,LOITERING
2,0,1,0,0,LOITERING
2,0,0,0,1,LOITERING
1,0,1,0,0,LOITERING
1,0,0,0,1,LOITERING
1,0,1,0,0,LOITERING
3,1,0,0,0,LOITERING
1,0,1,0,0,LOITERING
1,0,0,1,0,LOITERING
1,0,1,0,0,LOITERING
1,1,0,0,0,LOITERING
1,0,1,0,0,LOITERING
1,1,0,0,0,LOITERING
2,0,1,0,0,LOITERING
1,1,0,0,0,LOITERING
1,0,1,0,0,LOITERING
1,0,0,0,1,LOITERING
1,0,1,0,0,LOITERING
2,0,0,0,1,LOITERING
1,0,1,0,0,LOITERING
1,0,0,0,1,LOITERING
3,0,1,0,0,LOITERING
2,0,0,1,0,LOITERING
1,0,1,0,0,LOITERING
2,0,0,1,0,LOITERING
1,0,1,0,0,LOITERING
2,1,0,0,0,LOITERING
1,0,1,0,0,LOITERING
2,0,0,1,0,LOITERING
1,0,1,0,0,LOITERING
1,1,0,0,0,LOITERING
1,0,1,0,0,LOITERING
1,0,0,1,0,LOITERING
1,0,1,0,0,LOITERING
1,0,0,1,0,LOITERING
1,0,1,0,0,LOITERING
3,1,0,0,0,LOITERING
1,0,0,0,0,NORMAL
2,0,0,1,0,NORMAL
1,0,1,0,0,NORMAL
2,0,0,0,1,NORMAL
1,0,1,0,0,NORMAL
1,0,0,0,1,NORMAL
1,0,1,0,0,NORMAL
2,0,0,1,0,NORMAL
1,0,1,0,0,NORMAL
2,0,0,0,1,NORMAL
1,0,1,0,0,NORMAL
1,0,0,0,1,NORMAL
1,0,1,0,0,NORMAL
2,1,0,0,0,NORMAL
2,0,1,0,0,NORMAL
2,0,0,0,1,NORMAL
1,0,1,0,0,NORMAL
1,0,0,1,0,NORMAL
1,0,1,0,0,NORMAL
1,1,0,0,0,NORMAL
1,0,1,0,0,NORMAL
2,0,0,1,0,NORMAL
1,0,1,0,0,LOITERING
3,1,0,0,0,LOITERING
2,0,1,0,0,LOITERING
2,0,0,0,1,LOITERING
1,0,1,0,0,LOITERING
1,1,0,0,0,LOITERING
1,0,1,0,0,LOITERING
3,0,0,0,1,LOITERING
1,0,1,0,0,LOITERING
1,1,0,0,0,LOITERING
1,0,0,0,0,NORMAL
1,1,0,0,0,NORMAL
1,0,1,0,0,NORMAL
1,0,0,0,1,NORMAL
2,0,1,0,0,NORMAL
1,1,0,0,0,NORMAL
1,0,1,0,0,NORMAL
2,0,0,1,0,NORMAL
1,0,1,0,0,NORMAL
3,0,0,1,0,NORMAL
1,0,1,0,0,NORMAL
1,1,0,0,0,NORMAL
1,0,1,0,0,NORMAL
2,0,0,0,1,NORMAL
1,0,1,0,0,NORMAL
2,1,0,0,0,NORMAL
2,0,1,0,0,NORMAL
1,1,0,0,0,NORMAL
2,0,1,0,0,NORMAL
1,0,0,0,1,NORMAL
1,0,1,0,0,NORMAL
2,0,0,0,1,LOITERING
1,0,1,0,0,LOITERING
1,1,0,0,0,LOITERING
1,0,1,0,0,LOITERING
1,1,0,0,0,LOITERING
2,0,1,0,0,LOITERING
3,0,0,1,0,LOITERING
1,0,1,0,0,LOITERING
2,1,0,0,0,LOITERING
1,0,1,0,0,LOITERING
1,0,0,1,0,LOITERING
1,0,1,0,0,LOITERING
1,1,0,0,0,LOITERING
1,0,1,0,0,LOITERING
1,0,0,1,0,LOITERING
2,0,1,0,0,LOITERING
